"","variable","n","na","mean","sd","se_mean","IQR","skewness","kurtosis","p00","p01","p05","p10","p20","p25","p30","p40","p50","p60","p70","p75","p80","p90","p95","p99","p100","loc"
"1","K100000",236,0,4289972.14800847,3832983.81358743,249505.994249037,4282866.5875,2.03523338467984,5.81882220172083,231240.7,380096.1425,816808.9125,1146722.75,1507908.5,1652286.2125,1826073.5,2151942.05,2710495,3962359.1,5358053.4,5935152.8,6864706.4,8904928.8,12368368.1,18541070.765,25819782.5,"Jakarta"
"2","K50000",306,0,3266658.85979412,2520219.98243752,144071.387078638,3102358.11375,1.32674145568295,3.01979769430664,3893.45,42075.57,194566.1125,341777.6,1080501.75,1466051.81125,1745185.85,2176261.9,2752597.025,3618583.4,4181995.45,4568409.925,5070703.3,6427075.55,7370045.625,11207542.7575,15792907.4,"Jakarta"
"3","K20000",306,0,400898.947526144,341513.159404615,19523.0078818132,427998.285,1.50900764505193,3.09509656325232,2723.34,5808.028,14302.325,56697.06,141842,157829.21,186164.0235,233774.2,291556.4,360613.62,539741.18,585827.495,633828.66,874530.77,996275.895,1433142.545,2039980.6,"Jakarta"
"4","K10000",306,0,329178.322163399,354293.703174847,20253.6229397954,263512.11,2.62257010493069,9.2781234266612,4050.12,7030.6025,25946.515,61097.15,122691.8,136488.005,152924.45,172971.59,194854.7125,229057.01,285488.185,400000.115,521501.1,826752.62,959130.59,1660174.4805,2471606.79,"Jakarta"
"5","K5000",306,0,155758.475875817,231815.741841174,13252.0239131742,98926.735,4.35025038088965,23.1705066166861,3772.66,6907.195,18957.375,29274.49,48411.48,52610.0425,55827.2175,73016.635,100331.6825,112743.555,140932.735,151536.7775,168463.13,276340.9625,514388.23875,1316164.551,2007451.265,"Jakarta"
"6","K2000",120,0,112943.995975,151694.278617853,13847.7297072453,77553.9395,2.35202856128019,5.01193056714843,24.612,2141.0715,4206.7329,10542.0078,21809.8652,26254.858,33300.9569,50970.2728,63053.579,78860.8468,89230.5296,103808.7975,118413.4164,332611.219800001,470302.9213,658772.82462,714840.47,"Jakarta"
"7","K1000",306,0,36239.1017908497,37658.5365015965,2152.79524285377,50504.01225,1.79066520796913,5.11130381703924,0.001,0.001525,2.28675,16.3975,450.043,3401.1285,5588.038,18847.754,34767.0455,40835.489,50123.947,53905.14075,59453.6,71800.466,97689.15425,187896.77595,225426.182,"Jakarta"
"8","L1000",306,0,8108.72385620915,10670.9654591607,610.018492783548,15803,1.25586156338386,0.488282953703881,1,1,3.25,47,195,298,484,919,2253,3957,10923,16101,20003,25057.5,28768.5,39120.4,45833,"Jakarta"
"9","L500",306,0,11510.0326797386,7417.56366737652,424.033891386518,12096.75,0.348271508607406,0.0697347021397587,417,532.55,1104.5,1601,2903,3938.75,6669,9875,12523,14194,15561.5,16035.5,17627,20072,22535,29851.95,41131,"Jakarta"
"10","L200",188,0,2020.34574468085,1032.64399373128,75.3133036829823,1278.5,0.660397464289637,0.342663495238913,22,85.07,460.9,815.7,1245.6,1346,1440.1,1641.2,1840.5,2097.2,2424.3,2624.5,2825.2,3447,4022.65,4720.88,5150,"Jakarta"
"11","L100",306,0,1963.58496732026,1657.03106487229,94.7261610542606,1992.5,2.33833596041133,11.3535730955226,2,33.3166666666667,303.75,490.5,744,867.25,971,1216,1387.5,1606,2414,2859.75,3372,4021,4726.25,7158.79999999999,14702,"Jakarta"
"12","L50",303,0,238.70297029703,569.198725930259,32.6996124158574,234.5,4.6240742511628,22.6327842820336,1,1,2,3,8,11,15,34.9,56,102,196.2,245.5,326,448.2,544.4,3465.62,4033,"Jakarta"
